hostname;ip;;versao;coleta_lic;pleft;
ra001215.fla.brad;172.25.199.60;AG 2120 JOCKEY;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra18745bd.cdl.brad;172.24.193.108;BDN 10921 SHOPPING SCO LUIS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra050144.pjk.brad;172.25.80.148;BDN 25693 / 25694 EXTRA DUTRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra31941.cba.brad;172.27.65.52;AG. 1941 - AV. C. MAGALHAES;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra13083bd.igs.brad;172.24.34.28;BDN 11772 - MAKRO ATACADISTA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra001264.rpo.brad;172.25.165.180;AGP 3663 SERTAOZINHO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39875bd.sat1.brad;172.27.110.28; BDN 16360 - 20947 - 25587 - BDN PAA PREFEITURA MUNICIPAL DE VITORIA DE MEARIM;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra31096.cba.brad;172.27.57.20;AG. 1096 - AGUA BOA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra009755.pae.brad;172.24.156.140;PAB 1321-08 BRASKEN;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra32107.bhe.brad;172.27.66.20;AG. 2107 - AV. 28 DE ABRIL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra062168.rsd.brad;172.26.226.58;50494 BDN PAE SECRETARIA DE SAUDE  SCO LOURENGO PREFEITURA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059572.blm.brad;172.26.130.92;AG SUPERMERCADO YAMADA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra04744.mbi.brad;172.24.17.164;2403 AG PORTAL DO MORUMBI;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra050397.cas.brad;172.25.164.76;2532-01 PAB CRUZACO FUNDICAO E MECANICA LTDA - AG 2532;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00873.jai.brad;172.25.100.244;AG 0150 JUNDIAI;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra31561.bru.brad;172.27.39.100;AG. 1561 - ITARARE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
