hostname;ipl0;prefix_17;prefix_24;prefix_25;prefix_26;prefix_27;prefix_28;vrf_bbde_sem_ger;erro_vrf;
<a href="http://10.98.22.18/fping/10.100.0.104-rcubb04.ubb.unib.txt">rcubb04.ubb.unib</a>;10.100.0.104;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.101.64.0-ra051303.cauj.unib.txt">ra051303.cauj.unib</a>;10.101.64.0;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.104.0.101-rcpat01.pat.unib.txt">rcpat01.pat.unib</a>;10.104.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.104.0.106-rcpat06.pat.unib.txt">rcpat06.pat.unib</a>;10.104.0.106;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.104.192.56-adcjn01.pat.unib.txt">adcjn01.pat.unib</a>;10.104.192.56;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.108.0.110-rcbhe10.bhe.unib.txt">rcbhe10.bhe.unib</a>;10.108.0.110;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.108.0.111-rcbhe11.bhe.unib.txt">rcbhe11.bhe.unib</a>;10.108.0.111;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.108.0.161-rubhe01.bhe.unib.txt">rubhe01.bhe.unib</a>;10.108.0.161;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.112.0.103-rcsjoa01.sjoa.unib.txt">rcsjoa01.sjoa.unib</a>;10.112.0.103;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.112.96.14-re41800mz.itm.unib.txt">re41800mz.itm.unib</a>;10.112.96.14;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.112.96.21-re41801mz.itm.unib.txt">re41801mz.itm.unib</a>;10.112.96.21;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.102-rcliv02.liv.unib.txt">rcliv02.liv.unib</a>;10.136.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.106-rcliv06.liv.unib.txt">rcliv06.liv.unib</a>;10.136.0.106;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.108-rcliv08.liv.unib.txt">rcliv08.liv.unib</a>;10.136.0.108;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.109-rcliv09.liv.unib.txt">rcliv09.liv.unib</a>;10.136.0.109;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.112-rcliv12.liv.unib.txt">rcliv12.liv.unib</a>;10.136.0.112;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.114-rcliv14.liv.unib.txt">rcliv14.liv.unib</a>;10.136.0.114;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.136.0.117-rcliv17.liv.unib.txt">rcliv17.liv.unib</a>;10.136.0.117;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.145.0.102-rcfinv04.finv.unib.txt">rcfinv04.finv.unib</a>;10.145.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.10-rccta01.cta.psys.txt">rrcta01.cta.psys</a>;10.15.0.10;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.11-rrliv03.liv.psys.txt">rrliv03.liv.psys</a>;10.15.0.11;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.12-rrliv01.liv.psys.txt">rrliv01.liv.psys</a>;10.15.0.12;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.7-rrcta04.cta.psys.txt">rrcta04.cta.psys</a>;10.15.0.7;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.8-rrpat02.pat.psys.txt">rrpat02.pat.psys</a>;10.15.0.8;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.15.0.9-rrcta02.cta.psys.txt">rrcta02.cta.psys</a>;10.15.0.9;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.225.0.102-rcbru02.bru.unib.txt">rcbru02.bru.unib</a>;10.225.0.102;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.226.0.101-rcplt01.plt.unib.txt">rcplt01.plt.unib</a>;10.226.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.227.0.104-rccba04.cba.unib.txt">rccba04.cba.unib</a>;10.227.0.104;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.227.128.101-rccpe01.cpe.unib.txt">rccpe01.cpe.unib</a>;10.227.128.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.228.128.101-rctup01.tup.unib.txt">rctup01.tup.unib</a>;10.228.128.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.229.0.101-rcmns01.mns.unib.txt">rcmns01.mns.unib</a>;10.229.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.229.8.32-swcmns01.mns.unib.txt">swcmns01.mns.unib</a>;;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.231.0.101-rcmga01.mga.unib.txt">rcmga01.mga.unib</a>;10.231.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.232.0.101-rccsc01.csc.unib.txt">rccsc01.csc.unib</a>;10.232.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.233.0.101-rcpvo01.pvo.unib.txt">rcpvo01.pvo.unib</a>;10.233.0.101;n;n;n;n;n;n;--;;
<a href="http://10.98.22.18/fping/10.234.0.101-rccbf01.cbf.unib.txt">rccbf01.cbf.unib</a>;10.234.0.101;n;n;n;n;n;n;--;;
